zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
91773,0.65,0.02,0.18,44.22,0.0,0.37,0.92,0.74,0.59,122754.0
91775,0.31,0.02,0.5,42.04,0.0,0.52,0.91,0.74,0.55,123375.6
91776,0.19,0.01,0.64,42.27,0.01,0.29,0.76,0.71,0.56,79125.45
91778,0.26,0.01,0.44,35.6,0.01,0.31,0.89,0.74,0.39,70713.0
91780,0.22,0.02,0.61,43.48,0.01,0.36,0.84,0.71,0.54,96848.4
91786,0.59,0.06,0.08,35.75,0.01,0.28,0.89,0.72,0.44,82764.27
91789,0.27,0.03,0.57,42.83,0.0,0.46,0.9,0.69,0.68,116651.15
91790,0.36,0.03,0.23,36.54,0.02,0.23,0.83,0.75,0.58,90648.78
91791,0.42,0.04,0.26,39.8,0.02,0.33,0.87,0.73,0.55,113975.62
91792,0.26,0.05,0.37,36.84,0.02,0.29,0.82,0.73,0.55,89079.11
91793,0.41,0.04,0.24,37.7,0.03,0.24,0.82,0.71,0.59,83661.0
91801,0.23,0.02,0.48,40.01,0.01,0.35,0.81,0.72,0.43,78948.18
91803,0.23,0.01,0.52,41.8,0.01,0.29,0.78,0.72,0.52,85674.38
93243,0.94,0.0,0.02,44.8,0.01,0.16,0.9,0.6,0.63,94797.0
93510,0.69,0.01,0.05,39.45,0.03,0.3,0.82,0.64,0.63,116664.5
93532,0.87,0.04,0.01,44.9,-0.01,0.22,0.92,0.64,0.6,111451.5
93534,0.64,0.21,0.03,32.7,0.02,0.13,0.79,0.54,0.47,59272.82
93535,0.62,0.23,0.03,30.5,0.02,0.12,0.81,0.57,0.44,57685.4
93536,0.71,0.12,0.05,38.75,0.02,0.21,0.88,0.64,0.57,89066.2
93539,0.62,0.22,0.05,38.5,0.03,0.16,0.82,0.59,0.25,40920.0
93543,0.46,0.11,0.01,30.05,0.01,0.07,0.64,0.59,0.57,66836.0
93544,0.5,0.12,0.01,33.3,0.03,0.09,0.75,0.48,0.61,54124.0
93550,0.4,0.12,0.03,31.04,0.02,0.11,0.69,0.61,0.48,61654.56
93551,0.59,0.09,0.06,38.07,0.01,0.24,0.85,0.68,0.59,100966.08
93552,0.52,0.08,0.02,34.24,0.02,0.1,0.7,0.62,0.58,68331.0
93553,0.62,0.06,0.0,47.6,0.01,0.2,0.78,0.54,0.48,93017.0
93560,0.71,0.1,0.02,34.9,0.03,0.16,0.83,0.57,0.53,76689.33
93584,0.47,0.42,0.05,32.3,0.01,0.08,0.79,0.43,0.19,32782.0
93586,0.69,0.15,0.07,34.6,0.02,0.23,0.88,0.63,0.59,74317.0
93590,0.51,0.16,0.05,29.7,0.02,0.13,0.79,0.63,0.31,42416.0
93591,0.71,0.02,0.01,54.0,0.03,0.09,0.57,0.57,0.39,56967.0
