apts_url,beds,baths,sqft,price
https://www.apartments.com/amp-lofts-los-angeles-ca/x0mc2hq/,2.0,2.5,1449.0,4950.0
https://www.apartments.com/axis-los-angeles-ca/nhxmcjq/,0.0,1.0,511.0,1890.0
https://www.apartments.com/axis-los-angeles-ca/nhxmcjq/,1.0,1.0,636.0,2075.0
https://www.apartments.com/axis-los-angeles-ca/nhxmcjq/,2.0,2.0,1236.0,3160.0
https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,1.0,1.0,863.0,3714.0
https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,1.0,1.5,950.0,4059.0
https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,2.0,2.0,1344.0,5764.0
https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,2.0,2.5,1655.0,6730.0
https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,3.0,2.5,3317.0,27075.0
https://www.apartments.com/7403-los-angeles-ca/77xr18z/,2.0,2.0,990.0,3900.0
https://www.apartments.com/the-grace-los-angeles-ca/414ttvj/,0.0,1.0,602.0,2234.0
https://www.apartments.com/the-grace-los-angeles-ca/414ttvj/,3.0,2.0,1732.0,6875.0
https://www.apartments.com/madrid-los-angeles-ca/chd4nmg/,1.0,1.0,675.0,1825.0
https://www.apartments.com/madrid-los-angeles-ca/chd4nmg/,2.0,2.0,936.0,2425.0
https://www.apartments.com/madrid-los-angeles-ca/chd4nmg/,3.0,2.0,1371.0,3070.0
https://www.apartments.com/beverly-arnaz-los-angeles-ca/ekrw6lm/,1.0,1.0,842.0,2299.0
https://www.apartments.com/beverly-arnaz-los-angeles-ca/ekrw6lm/,2.0,2.0,1100.0,2999.0
https://www.apartments.com/waterstone-at-metro-los-angeles-ca/ys7rgws/,1.0,1.0,670.0,2095.0
https://www.apartments.com/waterstone-at-metro-los-angeles-ca/ys7rgws/,2.0,2.0,852.0,2795.0
https://www.apartments.com/virgil-square-los-angeles-ca/4nw11pl/,0.0,1.0,409.0,1575.0
https://www.apartments.com/virgil-square-los-angeles-ca/4nw11pl/,1.0,1.0,620.0,1820.0
https://www.apartments.com/ava-little-tokyo-los-angeles-ca/vfrceng/,0.0,1.0,642.0,2183.0
https://www.apartments.com/ava-little-tokyo-los-angeles-ca/vfrceng/,2.0,2.5,1193.0,3160.0
https://www.apartments.com/the-5550-los-angeles-ca/6yq288t/,0.0,1.0,635.0,1937.0
https://www.apartments.com/the-5550-los-angeles-ca/6yq288t/,1.0,1.0,927.0,2821.0
https://www.apartments.com/the-5550-los-angeles-ca/6yq288t/,2.0,2.0,1027.0,3301.0
https://www.apartments.com/duet-on-wilcox-los-angeles-ca/z0gleny/,0.0,1.0,370.0,1495.0
https://www.apartments.com/duet-on-wilcox-los-angeles-ca/z0gleny/,1.0,1.0,568.0,1705.0
https://www.apartments.com/duet-on-wilcox-los-angeles-ca/z0gleny/,2.0,1.0,686.0,2355.0
https://www.apartments.com/duet-on-wilcox-los-angeles-ca/z0gleny/,2.0,2.0,863.0,0.0
https://www.apartments.com/eighth-and-grand-los-angeles-ca/yescr5t/,0.0,1.0,543.0,2281.0
https://www.apartments.com/windsor-square-villas-los-angeles-ca/p6zyp5r/,2.0,2.0,1372.0,3793.0
https://www.apartments.com/kodo-los-angeles-ca/9wl3cy7/,2.0,2.0,875.0,3050.0
https://www.apartments.com/davinci-los-angeles-ca/bj5n538/,2.0,2.0,1246.0,2657.0
https://www.apartments.com/422-south-lake-los-angeles-ca/ds3x4vh/,1.0,1.0,746.0,0.0
https://www.apartments.com/la1440-apartments-los-angeles-ca/90wtkx6/,2.0,2.0,909.0,2933.0
https://www.apartments.com/the-lofts-on-la-brea-los-angeles-ca/nl3tpvq/,1.0,1.0,965.0,3350.0
https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,0.0,1.0,554.0,3300.0
https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,1.0,1.0,1020.0,4850.0
https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,2.0,2.0,1393.0,7180.0
https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,3.0,2.5,1614.0,5450.0
https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,3.0,2.0,1388.0,6821.0
https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,3.0,3.0,2025.0,9340.0
https://www.apartments.com/los-altos-apartments-los-angeles-ca/rm5v203/,0.0,1.0,655.0,3200.0
https://www.apartments.com/los-altos-apartments-los-angeles-ca/rm5v203/,1.0,1.0,780.0,3208.0
https://www.apartments.com/los-altos-apartments-los-angeles-ca/rm5v203/,2.0,1.5,900.0,5040.0
https://www.apartments.com/los-altos-apartments-los-angeles-ca/rm5v203/,2.0,2.0,1220.0,5500.0
https://www.apartments.com/los-altos-apartments-los-angeles-ca/rm5v203/,4.0,6.0,3200.0,22000.0
https://www.apartments.com/888-at-grand-hope-park-los-angeles-ca/237rms9/,1.0,1.0,726.0,0.0
https://www.apartments.com/888-at-grand-hope-park-los-angeles-ca/237rms9/,0.0,1.0,490.0,0.0
https://www.apartments.com/legacy-tamarind-los-angeles-ca/77kwrnz/,1.0,1.0,953.0,2800.0
https://www.apartments.com/legacy-tamarind-los-angeles-ca/77kwrnz/,2.0,2.0,1224.0,4050.0
https://www.apartments.com/legacy-tamarind-los-angeles-ca/77kwrnz/,3.0,3.0,1426.0,4850.0
https://www.apartments.com/vision-on-wilshire-los-angeles-ca/4085lyh/,0.0,1.0,563.0,3033.0
https://www.apartments.com/vision-on-wilshire-los-angeles-ca/4085lyh/,2.0,2.5,1353.0,7415.0
https://www.apartments.com/westchester-apartments-los-angeles-ca/fbyhz6t/,0.0,1.0,500.0,1895.0
https://www.apartments.com/westchester-apartments-los-angeles-ca/fbyhz6t/,1.0,1.0,750.0,2195.0
https://www.apartments.com/westchester-apartments-los-angeles-ca/fbyhz6t/,2.0,2.0,975.0,2695.0
https://www.apartments.com/llewellyn-los-angeles-ca/0qln4g0/,0.0,1.0,621.0,2275.0
https://www.apartments.com/llewellyn-los-angeles-ca/0qln4g0/,1.0,1.0,908.0,2950.0
https://www.apartments.com/llewellyn-los-angeles-ca/0qln4g0/,1.0,2.0,1263.0,3550.0
https://www.apartments.com/llewellyn-los-angeles-ca/0qln4g0/,2.0,2.0,1774.0,4600.0
https://www.apartments.com/llewellyn-los-angeles-ca/0qln4g0/,2.0,1.0,1113.0,3300.0
https://www.apartments.com/m-lofts-los-angeles-ca/qstd5wy/,0.0,1.0,372.0,1775.0
https://www.apartments.com/regency-manor-los-angeles-ca/r9m7wl0/,0.0,1.0,560.0,2450.0
https://www.apartments.com/regency-manor-los-angeles-ca/r9m7wl0/,1.0,1.0,650.0,2050.0
https://www.apartments.com/7393-west-manchester-avenue-los-angeles-ca/6hr2edv/,1.0,1.0,1026.0,1995.0
https://www.apartments.com/7393-west-manchester-avenue-los-angeles-ca/6hr2edv/,2.0,2.0,1335.0,2895.0
https://www.apartments.com/7393-west-manchester-avenue-los-angeles-ca/6hr2edv/,3.0,3.0,1335.0,3695.0
https://www.apartments.com/wilshire-royale-apartments-los-angeles-ca/p43ch9s/,0.0,1.0,540.0,1475.0
https://www.apartments.com/wilshire-royale-apartments-los-angeles-ca/p43ch9s/,1.0,1.0,825.0,1735.0
https://www.apartments.com/the-griffin-los-angeles-ca/6wdx84r/,2.0,2.5,1413.0,3919.0
https://www.apartments.com/the-griffin-los-angeles-ca/6wdx84r/,2.0,2.0,1125.0,3671.0
https://www.apartments.com/alina-los-angeles-ca/tltn528/,0.0,1.0,715.0,2835.0
