zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
95210,0.34,0.12,0.34,31.09,0.01,0.13,0.72,0.6,0.43,62181.7
95211,0.32,0.21,0.24,26.3,0.02,0.17,0.77,0.51,0.24,50802.0
95212,0.56,0.03,0.2,40.9,0.01,0.19,0.8,0.66,0.68,99817.5
95215,0.61,0.05,0.04,35.26,0.02,0.09,0.65,0.62,0.53,66946.88
95219,0.57,0.11,0.16,37.4,0.02,0.36,0.93,0.73,0.48,123262.2
95222,0.96,0.0,0.0,54.1,0.04,0.27,0.91,0.62,0.38,87988.0
95229,0.98,0.0,0.0,49.2,-0.07,0.34,0.9,0.59,0.51,106166.0
95230,0.9,0.01,0.02,47.65,0.02,0.16,0.9,0.64,0.6,88609.0
95231,0.57,0.12,0.1,32.4,0.02,0.08,0.63,0.4,0.44,74403.0
95234,0.82,0.02,0.04,35.3,-0.01,0.09,0.62,0.69,0.6,80830.0
95237,0.79,0.0,0.04,44.55,0.0,0.19,0.8,0.69,0.62,98386.5
95240,0.58,0.01,0.1,33.64,0.02,0.12,0.7,0.68,0.49,68634.8
95241,0.85,0.0,0.02,37.8,0.01,0.28,0.88,0.77,0.38,107169.0
95242,0.79,0.02,0.05,43.02,0.01,0.26,0.91,0.76,0.59,104492.83
95246,0.92,0.0,0.0,60.3,-0.0,0.13,0.91,0.38,0.44,55100.0
95249,0.92,0.01,0.0,59.3,-0.02,0.25,0.92,0.6,0.44,119726.0
95252,0.85,0.01,0.02,49.7,0.0,0.21,0.88,0.5,0.51,81638.0
95254,0.95,0.0,0.01,50.7,0.02,0.12,0.89,0.68,0.61,100373.0
95258,0.83,0.02,0.05,46.0,0.0,0.3,0.84,0.72,0.57,107349.0
95267,0.5,0.06,0.19,31.0,0.01,0.17,0.85,0.72,0.3,67416.0
95301,0.62,0.03,0.05,31.83,0.01,0.14,0.72,0.66,0.53,76387.57
95303,0.67,0.01,0.09,40.9,0.03,0.19,0.73,0.64,0.61,101823.0
95304,0.58,0.09,0.15,34.35,0.01,0.25,0.84,0.61,0.68,112443.0
95306,0.95,0.01,0.0,54.8,0.02,0.29,0.93,0.53,0.57,73119.0
